"segment_id","text","start","duration","vid"
11,"hacer declaraciones oportunistas lo que",20.1,5.66,"QpCNawZ1YLE"
12,"me han visto actuar ocho años",23.76,4.8,"QpCNawZ1YLE"
13,"dándole un combate muy frontal al",25.76,5.639,"QpCNawZ1YLE"
14,"narcotráfico y dividiendo las cosas no",28.56,5.46,"QpCNawZ1YLE"
15,"el adicto es un enfermo es un tema de",31.399,5.32,"QpCNawZ1YLE"
16,"salud pública en narcotraficante es un",34.02,4.98,"QpCNawZ1YLE"
17,"delincuente mercadores mercaderes de la",36.719,4.801,"QpCNawZ1YLE"
18,"muerte y como tal hay que tratarlos con",39,4.98,"QpCNawZ1YLE"
19,"toda la fuerza de la ley en eso Yo estoy",41.52,4.68,"QpCNawZ1YLE"
20,"a la derecha de la derecha Jorge que",43.98,4.62,"QpCNawZ1YLE"
21,"quede claro si los tipos están",46.2,4.8,"QpCNawZ1YLE"
22,"dispuestos a todo el estado tiene estar",48.6,4.799,"QpCNawZ1YLE"
23,"dispuesto a todo también usar todas las",51,4.559,"QpCNawZ1YLE"
24,"herramientas dentro del Estado derecho",53.399,5.101,"QpCNawZ1YLE"
25,"para combatirlos y como una vez dijo",55.559,5.401,"QpCNawZ1YLE"
26,"Lula cuando habían atacado la rosina",58.5,5.28,"QpCNawZ1YLE"
27,"narcotraficante con disparos con armas",60.96,5.1,"QpCNawZ1YLE"
28,"de guerra cuando le cuestionaron en qué",63.78,3.6,"QpCNawZ1YLE"
29,"manera reaccionó el gobierno dijeron",66.06,3.66,"QpCNawZ1YLE"
30,"dijo y qué quieren que le tiremos con",67.38,5,"QpCNawZ1YLE"
31,"pétalo de Rosa ahora pero Daniela",69.72,5.1,"QpCNawZ1YLE"
32,"acaba de decir yo estoy a la derecha de",72.38,5.02,"QpCNawZ1YLE"
33,"la derecha qué significa esto se habla",74.82,5.22,"QpCNawZ1YLE"
34,"Yo soy de movilizar las fuerzas armadas",77.4,6.42,"QpCNawZ1YLE"
35,"la gendarmería vos estarías a favor de",80.04,5.16,"QpCNawZ1YLE"
36,"eso",83.82,5.159,"QpCNawZ1YLE"
37,"todos los recursos humanos logísticos de",85.2,5.48,"QpCNawZ1YLE"
38,"inteligencia del Estado fuerzas",88.979,6.481,"QpCNawZ1YLE"
39,"federales provinciales un trabajo de",90.68,7.32,"QpCNawZ1YLE"
40,"inteligencia el relevamiento para para",95.46,6.06,"QpCNawZ1YLE"
41,"combatirlo para que no avancen estas",98,5.799,"QpCNawZ1YLE"
