"segment_id","text","start","duration","vid"
1,"[Música]",2.16,16.02,"NLb9WkfrvUY"
2,"Hola buenas noches programa especial de",14.78,5.32,"NLb9WkfrvUY"
3,"a dos voces Hola Edgardo Hola Marcelo",18.18,4.58,"NLb9WkfrvUY"
4,"Cómo estás bien muy muy contentos",20.1,5.339,"NLb9WkfrvUY"
5,"se va a hacer el primer debate nacional",22.76,5.04,"NLb9WkfrvUY"
6,"aquí en a dos voces por esta campaña",25.439,4.34,"NLb9WkfrvUY"
7,"recordemos elige presidente",27.8,5.14,"NLb9WkfrvUY"
8,"vicepresidente gobernadores esta noche",29.779,5.62,"NLb9WkfrvUY"
9,"en a dos Voces del primer debate es el",32.94,4.56,"NLb9WkfrvUY"
10,"primer debate de candidatos a",35.399,3.721,"NLb9WkfrvUY"
11,"vicepresidente que organiza dos voces",37.5,4.739,"NLb9WkfrvUY"
12,"así que están acá ya en instantes van a",39.12,5.4,"NLb9WkfrvUY"
13,"entrar y vamos a comenzar el debate y",42.239,5.761,"NLb9WkfrvUY"
14,"además con a 40 años de la Democracia no",44.52,6.18,"NLb9WkfrvUY"
15,"una buena forma de honrar a democracia",48,6.6,"NLb9WkfrvUY"
16,"se van a debatir los temas que a vos te",50.7,7.56,"NLb9WkfrvUY"
17,"interesan eh los temas de la economía la",54.6,8.639,"NLb9WkfrvUY"
18,"inflación la seguridad los piquetes la",58.26,8.039,"NLb9WkfrvUY"
19,"crisis social todos los temas malas",63.239,4.74,"NLb9WkfrvUY"
20,"noticias Así que todos esos temas que a",66.299,3.661,"NLb9WkfrvUY"
21,"vos te interesan van a estar en este",67.979,5.281,"NLb9WkfrvUY"
22,"debate frente a frente no así es",69.96,7.199,"NLb9WkfrvUY"
23,"forman parte del ADN de a dos voces y a",73.26,6.359,"NLb9WkfrvUY"
24,"dos voces forma parte de la historia",77.159,5.701,"NLb9WkfrvUY"
25,"política de la Argentina porque por a",79.619,4.86,"NLb9WkfrvUY"
26,"dos voces han desfilado políticos",82.86,3.36,"NLb9WkfrvUY"
27,"Marcelo que después llegaron a ser",84.479,4.101,"NLb9WkfrvUY"
28,"presidente vicepresidentes senadores",86.22,5.1,"NLb9WkfrvUY"
29,"diputados políticos que nunca antes",88.58,4.24,"NLb9WkfrvUY"
30,"habían debatido lo hicieron por primera",91.32,3.72,"NLb9WkfrvUY"
31,"vez es un programa especial Bueno hay",92.82,4.86,"NLb9WkfrvUY"
32,"muchísima gente gente muy importante en",95.04,4.439,"NLb9WkfrvUY"
33,"el estudio a vos se llama además de los",97.68,3.84,"NLb9WkfrvUY"
34,"candidatos Obviamente que van a a",99.479,5.28,"NLb9WkfrvUY"
35,"debatir hay muchos medios de prensa le",101.52,5.7,"NLb9WkfrvUY"
36,"agradecemos que participen los temas que",104.759,5.521,"NLb9WkfrvUY"
37,"a vos te interesan bueno esos temas se",107.22,5.88,"NLb9WkfrvUY"
38,"van a debatir Aquí esta noche y por eso",110.28,5.22,"NLb9WkfrvUY"
39,"ya le damos y le pedimos a los",113.1,4.74,"NLb9WkfrvUY"
40,"candidatos que ingrese al estudio de",115.5,4.74,"NLb9WkfrvUY"
41,"esta noche especial de tn de a dos Así",117.84,6.319,"NLb9WkfrvUY"
42,"es victoria villarroel de la Libertad",120.24,3.919,"NLb9WkfrvUY"
43,"Luis petri de Juntos por el cambio",125.719,6.24,"NLb9WkfrvUY"
44,"Agustín Rossi de Unión por la patria",129.08,5.92,"NLb9WkfrvUY"
45,"Florencio randazzo hacemos nuestro país",131.959,5.86,"NLb9WkfrvUY"
46,"y Nicolás del caño del frente de",135,5.06,"NLb9WkfrvUY"
47,"izquierda",137.819,2.241,"NLb9WkfrvUY"
48,"no vale eso",140.58,5.82,"NLb9WkfrvUY"
49,"bien Ahora en un ratito vamos a dar la",143,5.5,"NLb9WkfrvUY"
50,"regla del juego también para Tribuna le",146.4,3.78,"NLb9WkfrvUY"
51,"vamos a dar Pero bueno la efusividad",148.5,5.52,"NLb9WkfrvUY"
52,"aprovecharon ahora Vale ahora vale en",150.18,5.82,"NLb9WkfrvUY"
53,"instantes comenzamos el debate ahí están",154.02,5.64,"NLb9WkfrvUY"
54,"precisamente los candidatos le invitamos",156,6.42,"NLb9WkfrvUY"
55,"a los fotógrafos a a poder participar",159.66,5.719,"NLb9WkfrvUY"
56,"sacar las fotos",162.42,2.959,"NLb9WkfrvUY"
57,"hay Bueno te decíamos que hay muchísima",165.62,5.5,"NLb9WkfrvUY"
58,"gente muy importante hay muchos medios",168.84,5.64,"NLb9WkfrvUY"
59,"de prensa más de 30 medios de prensa que",171.12,6.86,"NLb9WkfrvUY"
60,"se acreditaron en todo noticias",174.48,7.68,"NLb9WkfrvUY"
61,"este de medios bueno todos los medios",177.98,6.28,"NLb9WkfrvUY"
62,"nacionales también las principales",182.16,4.74,"NLb9WkfrvUY"
63,"páginas web y muchos medios",184.26,4.32,"NLb9WkfrvUY"
64,"internacionales hay mucha expectativa",186.9,3.96,"NLb9WkfrvUY"
65,"por este debate el diario El País el",188.58,4.26,"NLb9WkfrvUY"
66,"diario El Mundo todas las agencias",190.86,4.62,"NLb9WkfrvUY"
67,"Internacionales La mayoría de los",192.84,5.34,"NLb9WkfrvUY"
68,"diarios de Brasil diario de chile medio",195.48,5.039,"NLb9WkfrvUY"
69,"de chile y también",198.18,6.36,"NLb9WkfrvUY"
70,"me dicen de Corea Así que Les",200.519,6.921,"NLb9WkfrvUY"
71,"agradecemos a todos nuestros Marcelo",204.54,5.64,"NLb9WkfrvUY"
72,"vamos a hacer una pausa ya está",207.44,5.14,"NLb9WkfrvUY"
73,"terminando la tarea de nuestros colegas",210.18,4.74,"NLb9WkfrvUY"
74,"los reporteros gráficos y le damos",212.58,3.96,"NLb9WkfrvUY"
75,"tiempo entonces para que se acomoden a",214.92,4.26,"NLb9WkfrvUY"
76,"los candidatos Dale dale mientras siguen",216.54,6.199,"NLb9WkfrvUY"
77,"ahí las fotos este te saludan",219.18,6.18,"NLb9WkfrvUY"
78,"nos vamos a la pausa es muy breve Y",222.739,4.78,"NLb9WkfrvUY"
79,"empezamos el debate aquí en a dos voces",225.36,2.97,"NLb9WkfrvUY"
80,"en exclusiva",227.519,18.08,"NLb9WkfrvUY"
81,"[Música]",228.33,19.35,"NLb9WkfrvUY"
82,"construimos tu estrategia de inversiones",245.599,4.541,"NLb9WkfrvUY"
83,"internacionales y nacionales con",247.68,3.96,"NLb9WkfrvUY"
84,"especialistas que te asesoran en",250.14,3.08,"NLb9WkfrvUY"
85,"cualquier momento",251.64,4.58,"NLb9WkfrvUY"
86,"tenés banca privada",253.22,4.19,"NLb9WkfrvUY"
87,"tenés Galicia",256.22,4.359,"NLb9WkfrvUY"
88,"[Música]",257.41,3.169,"NLb9WkfrvUY"
89,"naturaleza actividades diversión todo el",260.66,5.77,"NLb9WkfrvUY"
90,"año solanas es genial",264.6,10.879,"NLb9WkfrvUY"
91,"[Música]",266.43,11.25,"NLb9WkfrvUY"
92,"para los dolores de la artrosis",275.479,4.321,"NLb9WkfrvUY"
93,"artrostopia caliente para los calambres",277.68,4.68,"NLb9WkfrvUY"
94,"con o sin azúcar en sobrecitos para la",279.8,4.42,"NLb9WkfrvUY"
95,"reparación de tus cartílagos artrosto",282.36,3.839,"NLb9WkfrvUY"
96,"colágeno soy más bella artrostop Flex y",284.22,3.6,"NLb9WkfrvUY"
97,"para aplicar directamente sobre la zona",286.199,2.961,"NLb9WkfrvUY"
98,"del dolor",287.82,5.3,"NLb9WkfrvUY"
99,"y seguí disfrutando de la vida",289.16,3.96,"NLb9WkfrvUY"
