id,fecha,cuenta,texto,sustantivos,adjetivos,verbos,personas,organizaciones,lugares,matcheos
1644086307260362756,2023-04-06,Cristina Kirchner,"""Acabo de ver por televisión el operativo policial donde se detuvo a uno de los colectiveros que agredió salvajemente al ministro de Seguridad de PBA.\nMe dicen que se trató de un operativo conjunto de la policía de CABA con la Bonaerense. ¿Era necesaria la magnitud del operativo y… https://t.co/03dT473Stx""","televisión-18,operativo-32,colectiveros-80,ministro-121,policía-205,magnitud-258,operativo-271","policial-42,operativo-180,conjuntar-190,necesario-245","ver-10,detener-60,agredir-97,tratar-168,era-241","",ministro de Seguridad-121,"",policía
1622605622326792199,2023-02-06,Cristina Kirchner,"""También toda nuestra solidaridad con los familiares, amigos y amigas de Omar Menéndez, candidato ganador a la Alcaldía de Puerto López, asesinado el día de la elección. Horror y violencia política.""","solidaridad-22,familiar-42,amigo-54,amigo-63,candidato-88,día-150,elección-160,horror-170,violencia-179","ganador-98,político-189",asesinar-137,Omar Menéndez-73,"Alcaldía de Puerto López-111,Horror-170","",violencia
1616437333284491266,2023-01-20,Cristina Kirchner,"""Por si alguien faltaba en este verdadero escándalo, el fiscal que intervino fue… ¡Stornelli! procesado por espionaje ilegal e impulsor de la “Operación Puf”, donde buscó legitimar las escuchas ilegales de la cárcel de Ezeiza para salvarse de su participación en el D`Alessiogate.""","escándalo-42,fiscal-56,espionaje-108,impulsor-127,escuchar-185,cárcel-209,participación-246","verdadero-32,procesar-94,ilegal-118,ilegal-194","intervenir-67,buscar-165,legitimar-171,salvarse-231","","",Ezeiza-219,cárcel
1612555023363330063,2023-01-09,Cristina Kirchner,"""“Repudio sin peros (y memoria) sobre el intento de golpe de Estado en Brasil”. \nImperdible análisis de la inoculación del odio, el rol de los medios y su consecuencia inevitable: la violencia política. https://t.co/bHGsJ7fC5n""","pero-14,intentar-41,golpe-52,análisis-93,inoculación-108,odiar-124,rol-133,medio-144,consecuencia-156,violencia-184,https://t.co/bhgsj7fc5n-204","\nimperdible-80,inevitable-169,político-194","","","",Brasil-71,violencia
1612206253853528065,2023-01-08,Cristina Kirchner,"""Los discursos del odio en medios de comunicación y redes sociales, la estigmatización del que no piensa igual, hasta querer inclusive suprimir su vida y la violencia son el signo contemporáneo de las nuevas derechas. No basta con el imprescindible repudio o la necesaria condena…""","discurso-5,odiar-19,medio-27,comunicación-37,redar-52,estigmatización-71,vida-147,violencia-157,signar-174,derecho-208,repudiar-249,condenar-272","social-58,igual-105,contemporáneo-180,nuevo-201,imprescindible-234,necesario-262","pensar-98,querer-118,suprimir-135,ser-167,basto-221","","","",violencia
1595525714517843975,2022-11-23,Cristina Kirchner,"""Basta de violencia política https://t.co/5SM51tkqNh""",violencia-10,político-20,basta-1,"","","",violencia
1588668878204600320,2022-11-04,Cristina Kirchner,"""También es necesario un acuerdo democrático donde las diferencias no puedan ser solucionadas a través de la violencia: recuperar la capacidad de discutir sin agravios, sin violencia y con números. https://t.co/vbv0gHn6TW""","acordar-25,diferenciar-55,violencia-109,capacidad-133,agravio-159,violencia-173,número-189,https://t.co/vbv0ghn6tw-198","necesario-12,democrático-33","poder-70,ser-77,solucionar-81,recuperar-120,discutir-146","","","",violencia
1561861605704568835,2022-08-22,Cristina Kirchner,"""Son muy, pero muy violentos… y cuando son menos, la policía de Rodríguez Larreta se suma a la agresión contra mi persona. Nunca fueron ni serán democráticos.""","policía-53,agresión-95,personar-114","violento-19,democrático-145","son-1,ser-39,sumo-85,ser-129",Rodríguez Larreta-64,"","",policía
1633143941699715073,2023-03-07,Daniel Scioli 🇦🇷,"""El envío de Fuerzas Federales para reforzar el combate contra el narcotráfico, como la presencia de las Fuerzas Armadas con el fin de colaborar en la urbanización de barrios, va en esa dirección.""","enviar-4,combatir-48,narcotráfico-66,presenciar-88,urbanización-151,barrio-167,dirección-186","","reforzar-36,colaborar-135,ir-176","","Fuerzas Federales-13,Fuerzas Armadas-105","",narco
1633143171298340866,2023-03-07,Daniel Scioli 🇦🇷,"""Contra criminales y sicarios dispuestos a todo, dentro del marco de la Constitución, debemos enfrentarlos con el mayor vigor de la fuerza del Estado.""","criminal-8,sicario-21,marcar-60,vigor-120,forzar-132","disponer-30,mayor-114",enfrentarlos-94,"","","",criminal
1633137517301039106,2023-03-07,Daniel Scioli 🇦🇷,"""Mi respaldo y acompañamiento a las firmes decisiones del presidente @alferdez para el combate integral contra el flagelo del narcotráfico en Rosario.""","respaldar-4,acompañamiento-15,decisión-43,presidente-58,combatir-87,flagelar-114,narcotráfico-126","firme-36,integral-95","","","",Rosario-142,narco
1632010756404150273,2023-03-04,Daniel Scioli 🇦🇷,"""Jorge Rial me preguntó qué hay que hacer con los narcos en Rosario.\n\nQue quede claro: el narcotraficante es un mercader de la muerte. Hay que combatirlo con firmeza, utilizando todos los recursos humanos, logísticos, de inteligencia y las fuerzas nacionales y provinciales. https://t.co/GVXLVRvcKs""","narcos-50,narcotraficante-92,mercader-114,muerte-129,firmeza-160,recurso-190,inteligencia-223,fuerza-242","claro-82,humano-199,logístico-208,nacional-250,provincial-263,https://t.co/gvxlvrvcks-277","preguntar-15,hacer-36,quedar-76,combatirlo-145,utilizar-169",Jorge Rial-1,"","",narco
1612185620549345282,2023-01-08,Daniel Scioli 🇦🇷,"""Expreso mi más enérgico repudio a los actos de violencia institucional que se están llevando adelante en Brasilia contra los tres poderes.\n\nConfío en la experiencia del presidente @LulaOficial, quien restablecerá el orden democrático.""","repudiar-25,acto-39,violencia-48,poderes.\n\nconfío-131,experiencia-156,presidente-172,orden-219","enérgico-16,institucional-58,@lulaoficial-183,democrático-225","expreso-1,estar-79,llevar-85,restablecer-203","","",Brasilia-106,violencia
1596174401791488000,2022-11-25,Daniel Scioli 🇦🇷,"""Día Internacional para la Eliminación de las Violencias contra las Mujeres 👩‍🦰👩🏽‍🦱👱‍♀️👧🏻\n\nArgentina jerarquizó los temas de género creando el Ministerio de las Mujeres, Géneros y Diversidad, que tiene a la eliminación de las violencias por motivos de género como tema prioritario.""","‍-77,🏽‍-80,temer-118,género-127,eliminación-209,violencia-228,motivo-243,género-254,temer-266","🦱-82,🏻\n\nargentina-88,prioritario-271","🦰-78,jerarquizar-103,crear-134,tener-198","","","🏻\n\nArgentina-88,Ministerio de las Mujeres-145,Géneros y Diversidad-172",violencia
1534202049457491972,2022-06-07,Daniel Scioli 🇦🇷,"""🇦🇷🇧🇷│Brasil comenzó con los primeros cultivos de trigo HB4 resistente a la sequía creado por @BioceresCropS de Argentina.\n\nGracias al trabajo conjunto con @AgriculturaAR, @CancilleriaARG y @CONICETDialoga, logramos en 2021 que Brasil sea el primer país del mundo en aprobarlo.""","🇦-1,cultivo-38,trigo-50,sequía-76,trabajar-137,país-251,mundo-260","primero-29,resistente-60,crear-83,conjuntar-145,﻿1-244","🇷-2,🇧-3,🇷-4,comenzar-13,lograr-209,ser-237,aprobarlo-269",Argentina.\n\nGracias-112,"",Brasil-230,robar
